Samples,DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
1,2.22E+03,3.05E+03,1.19E+03,7.33E+01,3.45E-01,2.17E+00,8.66E-01,1.00E+00,2.56E+00,6.62E+03,2.59E+03,2.83E-01,2.70E+00,1.05E+00,3.17E-01,4.00E+00
2,2.21E+03,2.77E+03,1.15E+03,7.53E+01,3.30E-01,2.23E+00,9.68E-01,1.00E+00,2.40E+00,6.19E+03,2.58E+03,3.05E-01,2.70E+00,1.08E+00,2.87E-01,4.00E+00
3,2.30E+03,3.22E+03,1.56E+03,6.29E+01,2.69E-01,2.20E+00,1.00E+00,1.00E+00,2.07E+00,7.07E+03,3.42E+03,1.65E-01,2.68E+00,1.09E+00,3.03E-01,1.00E+00
4,2.23E+03,2.68E+03,1.18E+03,7.16E+01,3.42E-01,2.14E+00,9.71E-01,1.00E+00,2.27E+00,5.75E+03,2.53E+03,2.63E-01,2.69E+00,1.08E+00,3.40E-01,4.00E+00
5,2.28E+03,3.32E+03,1.64E+03,6.25E+01,2.69E-01,2.21E+00,1.00E+00,1.00E+00,2.03E+00,7.33E+03,3.62E+03,1.61E-01,2.68E+00,1.09E+00,2.94E-01,1.00E+00
6,2.24E+03,2.87E+03,1.20E+03,6.26E+01,3.19E-01,2.13E+00,9.63E-01,1.00E+00,2.39E+00,6.11E+03,2.56E+03,1.62E-01,2.68E+00,1.08E+00,3.44E-01,1.00E+00
7,2.33E+03,3.12E+03,1.59E+03,9.12E+01,3.10E-01,2.33E+00,1.00E+00,1.00E+00,1.96E+00,7.27E+03,3.70E+03,4.85E-01,2.73E+00,1.09E+00,2.44E-01,4.00E+00
8,2.16E+03,2.47E+03,1.38E+03,5.71E+01,2.99E-01,2.10E+00,2.65E-01,8.04E-01,1.80E+00,5.20E+03,2.90E+03,9.94E-02,2.67E+00,8.62E-01,3.12E-01,2.00E+00
9,2.29E+03,3.22E+03,1.51E+03,6.03E+01,3.06E-01,2.19E+00,1.00E+00,1.00E+00,2.13E+00,7.06E+03,3.31E+03,1.36E-01,2.67E+00,1.09E+00,3.05E-01,1.00E+00
10,2.24E+03,2.80E+03,1.32E+03,6.36E+01,3.42E-01,2.20E+00,1.00E+00,1.00E+00,2.13E+00,6.16E+03,2.90E+03,1.73E-01,2.68E+00,1.09E+00,2.99E-01,1.00E+00
11,2.40E+03,3.19E+03,1.52E+03,6.38E+01,3.02E-01,2.18E+00,1.00E+00,1.00E+00,2.10E+00,6.95E+03,3.30E+03,1.75E-01,2.68E+00,1.09E+00,3.16E-01,1.00E+00
